"Site","Depth","ProjArea","StraightLength","StraightWidth","WLRatio","Volume","Age","keep"
"BOC",0,0.0494,0.3195,0.2868,0.8977,1,2020.9,TRUE
"BOC",0,0.0497,0.4002,0.1817,0.454,1,2020.9,TRUE
"BOC",0,0.0502,0.306,0.2314,0.7562,1,2020.9,TRUE
"BOC",0,0.0505,0.549,0.1368,0.2492,1,2020.9,TRUE
"BOC",0,0.0505,0.3045,0.2532,0.8315,1,2020.9,TRUE
"BOC",0,0.051,0.4321,0.1658,0.3837,1,2020.9,TRUE
"BOC",0,0.0512,0.4345,0.1695,0.3901,1,2020.9,TRUE
"BOC",0,0.0512,0.4021,0.1549,0.3852,1,2020.9,TRUE
"BOC",0,0.052,0.3196,0.2569,0.8038,1,2020.9,TRUE
"BOC",0,0.0521,0.5213,0.118,0.2264,1,2020.9,TRUE
"BOC",0,0.0523,0.5768,0.1127,0.1954,1,2020.9,TRUE
"BOC",0,0.0524,0.3408,0.2228,0.6538,1,2020.9,TRUE
"BOC",0,0.0526,0.486,0.1523,0.3134,1,2020.9,TRUE
"BOC",0,0.0528,0.3539,0.2195,0.6202,1,2020.9,TRUE
"BOC",0,0.0529,0.3427,0.2274,0.6636,1,2020.9,TRUE
"BOC",0,0.0536,0.5011,0.1255,0.2504,1,2020.9,TRUE
"BOC",0,0.0538,0.4132,0.1615,0.3909,1,2020.9,TRUE
"BOC",0,0.054,0.3467,0.1997,0.576,1,2020.9,TRUE
"BOC",0,0.0541,0.3376,0.218,0.6457,1,2020.9,TRUE
"BOC",0,0.0542,0.4708,0.166,0.3526,1,2020.9,TRUE
"BOC",0,0.0562,0.4997,0.1435,0.2872,1,2020.9,TRUE
"BOC",0,0.0567,0.4864,0.152,0.3125,1,2020.9,TRUE
"BOC",0,0.0568,0.6232,0.1352,0.2169,1,2020.9,TRUE
"BOC",0,0.0571,0.4394,0.1504,0.3423,1,2020.9,TRUE
